date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:52	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:51%20GMT	https://makemyvcard.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js)
14:34:52	70092/70092	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2011:50:51%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/smart-digital-business-card.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/smart-digital-business-card.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:34:52	188133/188133	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2012:15:31%20GMT	https://makemyvcard.com/wp-content/uploads/bb-plugin/cache/2616-layout.css?ver=160f68836d1b3e05d80259421f52c37a	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/bb-plugin/cache/2616-layout08b4.css	(from https://makemyvcard.com/digital-business-card-features/)
14:34:54	21789/21789	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Sep%202021%2009:04:52%20GMT	https://makemyvcard.com/dialog/	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/dialog/index.html	(from https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js)
14:34:54	2472/2472	---M-Z	200	added ('OK')	application/json	date:Mon,%2006%20Sep%202021%2009:04:52%20GMT	https://makemyvcard.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmakemyvcard.com%2Fdigital-business-card-features%2F	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-json/oembed/1.0/embed7cb7.json	(from https://makemyvcard.com/digital-business-card-features/)
14:34:54	161/161	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20Sep%202021%2009:04:52%20GMT	https://makemyvcard.com/?p=2616	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/indexb208.html	(from https://makemyvcard.com/digital-business-card-features/)
14:34:54	2607/2607	---M-Z	200	added ('OK')	text/xml	date:Mon,%2006%20Sep%202021%2009:04:54%20GMT	https://makemyvcard.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmakemyvcard.com%2Fdigital-business-card-features%2F&format=xml	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-json/oembed/1.0/embed4703	(from https://makemyvcard.com/digital-business-card-features/)
14:34:54	39050/39050	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Apr%202018%2012:33:15%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Share-Digital-vCard.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Share-Digital-vCard.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:34:55	29657/29657	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Apr%202018%2020:56:57%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Digital-vCard-Click-to-Call-Link.jpg	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Digital-vCard-Click-to-Call-Link.jpg	(from https://makemyvcard.com/digital-business-card-features/)
14:34:57	4255191/4255191	---M--	200	added ('OK')	video/mp4	date:Fri,%2020%20Apr%202018%2012:43:08%20GMT	https://makemyvcard.com/wp-content/uploads/2018/04/Share-Digital-vCard.mp4?_=1	C:/My%20Web%20Sites/DCMS_MainPage/makemyvcard.com/wp-content/uploads/2018/04/Share-Digital-vCard230a.mp4	(from https://makemyvcard.com/digital-business-card-features/)
